CA Dept of State Hospitals (DSH-San Diego),8566582,13481833,APM00073500860,APM00073500860,11/19/07 0:00,NA,"ASSY, CX3-20C ISCSI/COMBO HA CHASSIS DEL",100-561-429,CLARiiON CX3-20,HARDWARE-PART,CLARIION-CX3,CLARiiON,Install,,03.26.020.5.011,ASP,WEBEX,EMAIL HOME,,,62303779,SA-SALE-US,NA,NA,NA,1752-12-31 00:00:00,1752-12-31 00:00:00,N,Unisys ASP Optional,NA,,,,,3420 CAMINO DEL RIO N,STE 215,SAN DIEGO,CA,,92108,America/Los_Angeles,Daniel.Rolls@emc.com,52513 AM CS District,sam.newman@emc.com,west.am@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Norwalk),5019237,71549000,BRCBRW2546J07N,BRCBRW2546J07N,4/22/14 0:00,DS-6510F-8GB,DS-6510F-B 24P/48P 8GB FTR BASE SWITCH,100-652-596,Connectrix (Brocade B Series) DS-6510,HARDWARE-PART,CONNECTRIX-BROC,Connectrix,Install,,7.0.2c,EMC,NOT CONFIGURED,NOT CONFIGURED,,,30326750,SA-SALE,30326750H,PREMIUM,ACTIVE,1/27/14 0:00,2/25/17 0:00,N,NA,NA,,,,,11401 BLOOMFIELD AVE,,NORWALK,CA,,90650,America/Los_Angeles,ronald.freedman@emc.com,52213 AM CS District,,steve.wilson@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Norwalk),5019237,71549000,BRCBRW2546J07R,BRCBRW2546J07R,4/22/14 0:00,DS-6510F-8GB,DS-6510F-B 24P/48P 8GB FTR BASE SWITCH,100-652-596,Connectrix (Brocade B Series) DS-6510,HARDWARE-PART,CONNECTRIX-BROC,Connectrix,Install,,7.0.2c,EMC,NOT CONFIGURED,NOT CONFIGURED,,,30326750,SA-SALE,30326750H,PREMIUM,ACTIVE,1/27/14 0:00,2/25/17 0:00,N,NA,NA,,,,,11401 BLOOMFIELD AVE,,NORWALK,CA,,90650,America/Los_Angeles,ronald.freedman@emc.com,52213 AM CS District,,steve.wilson@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Norwalk),5019237,71549000,APM00140619762,APM00140619762,4/7/14 0:00,VNXB54DP25,VNX5400 PSNT,900-566-029,VNX5400,HARDWARE-PART,UNIFIED-VNX2,VNX/VNXe Family,Install,,05.33.000.5.081,ASP,WEBEX,EMAIL HOME,,5/4/16 23:46,30326750,SA-SALE,30326750H,PREMIUM,ACTIVE,1/27/14 0:00,2/25/17 0:00,N,Unisys ASP Optional,NA,,,,,11401 BLOOMFIELD AVE,,NORWALK,CA,,90650,America/Los_Angeles,ronald.freedman@emc.com,52213 AM CS District,,steve.wilson@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Patton),11089676,71549000,APM00141139214,APM00141139214,7/17/14 0:00,DD4200-CTL-B,DD4200-CTL PSNT,900-565-015,Data Domain,HARDWARE-PART,DATADOMAIN-HYDR,Data Domain,Install,,5.2.6.0,ASP,NOT CONFIGURED,NOT CONFIGURED,,2/16/16 16:08,30435743,SA-SALE,30435743BR,PREMIUM,ACTIVE,7/17/14 0:00,7/16/17 0:00,N,Unisys ASP Optional,NA,,,,,3102 E HIGHLAND AVE,,PATTON,CA,,92369,America/Los_Angeles,ronald.freedman@emc.com,52213 AM CS District,,david.farris@emc.com,,ross.starkweather@emc.com,58000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),5381740,71549000,APM00141700684,APM00141700684,8/21/14 0:00,VNX53D259010M,VNX5300 PSNT,900-567-002,VNX5300,HARDWARE-PART,UNIFIED-VNX,VNX/VNXe Family,Install,,05.32.000.5.218,ASP,CUSTOMER REFUSED,CUSTOMER REFUSED,,,30395980,SA-SALE,30395980H,PREMIUM,ACTIVE,5/23/14 0:00,6/21/17 0:00,N,Unisys ASP Optional,NA,,,,,24511 W JAYNE AVE,,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,dennis.franklin@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),5381740,71549000,05TJFA010005034,05TJFA010005034,5/23/14 0:00,RPS-V53,RecoverPoint and RPS RTU for VNX5300,100S-001829,RecoverPoint SE,SOFTWARE-PART,RECOVERPOINT-NA,RecoverPoint,Install,,,EMC,,,,,30395980,SA-SALE,30395980S,PREMIUM,ACTIVE,5/23/14 0:00,5/22/17 0:00,N,NA,NA,,,,,24511 W JAYNE AVE,,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,dennis.franklin@emc.com,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),9599267,71549000,APM00103500950,APM00103500950,10/8/10 0:00,AVMRACKG3,INA REPLACED BY 100-580-610-01,100-580-610,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install - T&M,,5.0.4-30,EMC,NOT APPLICABLE,EMAIL HOME,1285028586A4BADB4047FE,,63819039,EV-EVAL-US,63848447H,PREMIUM,CANCELLED,9/23/12 0:00,9/22/16 0:00,N,NA,NA,,,,,24511 W JAYNE AVE,ADMINISTRATION BLDG,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),9599267,71549000,NNG05103510193,NNG05103510193,9/20/15 5:33,NA,AVAMAR ADS GEN3 3.3TB SRVR (36GB/SATA),100-580-603,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install,,,EMC,,,,,63819039,EV-EVAL-US,NA,NA,NA,1752-12-31 00:00:00,1752-12-31 00:00:00,N,NA,NA,,,,,24511 W JAYNE AVE,ADMINISTRATION BLDG,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),9599267,71549000,NNG05102810046,NNG05102810046,10/8/10 12:00,AVM1NUTILMG3,AVAMAR ADS GEN3 UTILITY/ACCEL SERVER,100-580-604,Avamar,HARDWARE-PART,AVAMAR-NA,Avamar,Install - T&M,,5.0.1.32,EMC,,,,,63819039,EV-EVAL-US,63848447H,ENSP,CANCELLED,9/23/13 0:00,9/22/16 0:00,N,NA,NA,,,,,24511 W JAYNE AVE,ADMINISTRATION BLDG,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
CA Dept of State Hospitals (DSH-Coalinga),9599267,71549000,1284670116A4BAD33344EC,1284670116A4BAD33344EC,3/16/11 0:00,456-100-309,AVAMAR SOLUTION IDENTIFIER,900-580-003,Avamar,SOFTWARE-PART,AVAMAR-NA,Avamar,Install,,,EMC,WEBEX,EMAIL HOME,,,,,,,,,,N,NA,NA,,,,,24511 W JAYNE AVE,ADMINISTRATION BLDG,COALINGA,CA,,93210,America/Los_Angeles,concepcion.salcido@emc.com,52519 AM CS District,,,,ross.starkweather@emc.com,57000 CS Region,West CS Division,Americas CS Theater
